2,クロスカブ50,https://img.webike-cdn.net/moto_img/cg/11/10227/L_cde629cf1344ba858b6b5143d5.jpg,404.2,49,cat05,1
3,ジャイロX スタンダード,https://img.webike-cdn.net/moto_img/cg/11/10358/L_8c22660d148a344a0da4fe8300.jpg,271.4,49,cat02,1
4,ジャイロX ベーシック,https://img.webike-cdn.net/moto_img/cg/11/10359/L_f90f286bfdc7b598367f45953d.jpg,276.0,49,cat02,1
5,ジャイロキャノピー,https://img.webike-cdn.net/moto_img/cg/10/9705/L_c53ba5a4d39dffb4fb01186048.jpg,321.6,49,cat02,1
6,ジョルノ,https://img.webike-cdn.net/moto_img/cg/11/10122/L_94914f2a46161532667134b8d9.jpg,360.0,49,cat02,1
7,ジョルノ デラックス,https://img.webike-cdn.net/moto_img/cg/10/9710/L_fd8c9a7c13f2664129c4fd8fa9.jpg,360.0,49,cat02,1
8,スーパーカブ50,https://img.webike-cdn.net/moto_img/cg/11/10225/L_ddc00c03ced85c28a460c1f331.jpg,451.5,49,cat05,1
9,スーパーカブ50プロ,https://img.webike-cdn.net/moto_img/cg/11/10226/L_8b9b4a2d7661671d16ad50e095.jpg,399.9,49,cat05,1
10,タクト,https://img.webike-cdn.net/moto_img/cg/11/10069/L_dd89eb1023259d456cfcd6f82d.jpg,360.0,49,cat02,1
11,タクト ベーシック,https://img.webike-cdn.net/moto_img/cg/11/10070/L_d43794a96681b78d024a730f84.jpg,360.0,49,cat02,1
12,ダンク,https://img.webike-cdn.net/moto_img/cg/11/10123/L_dcc03edc3559348a5212231168.jpg,338.9,49,cat02,1
13,ベンリィ,https://img.webike-cdn.net/moto_img/cg/11/10353/L_40e35c0949902b77ca4081e91c.jpg,652.0,49,cat02,1
14,ベンリィ プロ,https://img.webike-cdn.net/moto_img/cg/11/10354/L_862f1035a6573191bfb41a3f8f.jpg,652.0,49,cat02,1
19,クロスカブ110,https://img.webike-cdn.net/moto_img/cg/11/10184/L_e0f6a49b3d160744f19969d91c.jpg,274.7,109,cat05,1
20,スーパーカブ110,https://img.webike-cdn.net/moto_img/cg/11/10183/L_059ae2c98f9af4c6eaeec7ad64.jpg,278.8,109,cat05,1
21,スーパーカブ110プロ,https://img.webike-cdn.net/moto_img/cg/11/10199/L_2fc4af023d154a6388a8d0e47f.jpg,278.8,109,cat14,1
22,ディオ110,https://img.webike-cdn.net/moto_img/cg/11/10257/L_8e910d75adf0914dddb5d0c27b.jpg,269.0,109,cat03,1
23,ベンリィ110,https://img.webike-cdn.net/moto_img/cg/11/10356/L_a3e2df9b24af442ad32a9eff59.jpg,530.0,107,cat03,1
24,ベンリィ110プロ,https://img.webike-cdn.net/moto_img/cg/11/10357/L_3fb144160d00acf28df04d6be7.jpg,530.0,107,cat03,1
27,CB125R,https://img.webike-cdn.net/moto_img/cg/10/9684/L_03aeb2901f021fccb1918d92a4.jpg,530.0,124,cat05,1
31,CT125 ハンターカブ,https://img.webike-cdn.net/moto_img/cg/11/10382/L_c6b491aa63b2d31c3ef49e5885.jpg,333.9,123,cat05,1
33,PCX eHEV,https://img.webike-cdn.net/moto_img/cg/10/9604/L_3c4712577b4e08f33ecfebec8e.jpg,414.7,124,cat03,1
34,PCX125,https://img.webike-cdn.net/moto_img/cg/11/10245/L_9903d28513ffa0b84fa4d92aeb.jpg,383.9,124,cat03,1
35,Sh モード,https://img.webike-cdn.net/moto_img/cg/9/8130/L_195541fcaab554042f0243da01.jpg,259.6,124,cat03,1
40,グロム,https://img.webike-cdn.net/moto_img/cg/10/9681/L_5ded1dfe1afe452e93e54cbc22.jpg,411.0,123,cat05,1
41,スーパーカブC125,https://img.webike-cdn.net/moto_img/cg/11/10032/L_1cbca3196ebf6fd3e61057c0e1.jpg,259.0,124,cat05,1
